# TEST CONFIGURATION BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None),,,,,,,,,,,,,,,,,,,,,,,,,,,
# [Hoeffding Tree] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05),,,,,,,,,,,,,,,,,,
# [SAM KNN] SAMKNNClassifier(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=False, weighting='distance'),,,,,,,,,,,,,,,,,,,,,,,,
# [Hoeffding Adaptive Tree] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05),,,,,,,,,,,,,,,,
# [Ensemble OzaBag] OzaBaggingClassifier(base_estimator=KNNClassifier(leaf_size=30, max_window_size=2000, metric='euclidean', n_neighbors=8), n_estimators=2, random_state=None),,,,,,,,,,,,,,,,,,,,,,,,,
# [Ensemble DWMC] DynamicWeightedMajorityClassifier(base_estimator=NaiveBayes(nominal_attributes=None), beta=0.5, n_estimators=5, period=50, theta=0.01),,,,,,,,,,,,,,,,,,,,,,,,,,
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=52848, max_time=inf, metrics=['accuracy', 'running_time', 'model_size'], n_wait=1000, output_file='//content//drive//MyDrive//Colab ' 'Notebooks//ML_Assignment4//AbruptDataSet_Metrics.csv', pretrain_size=1000, restart_stream=True, show_plot=False),,,,,,,,,,,,,,,,,,,
# TEST CONFIGURATION END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,mean_acc_[Hoeffding Tree],current_acc_[Hoeffding Tree],mean_acc_[SAM KNN],current_acc_[SAM KNN],mean_acc_[Hoeffding Adaptive Tree],current_acc_[Hoeffding Adaptive Tree],mean_acc_[Ensemble OzaBag],current_acc_[Ensemble OzaBag],mean_acc_[Ensemble DWMC],current_acc_[Ensemble DWMC],training_time_[Hoeffding Tree],testing_time_[Hoeffding Tree],total_running_time_[Hoeffding Tree],training_time_[SAM KNN],testing_time_[SAM KNN],total_running_time_[SAM KNN],training_time_[Hoeffding Adaptive Tree],testing_time_[Hoeffding Adaptive Tree],total_running_time_[Hoeffding Adaptive Tree],training_time_[Ensemble OzaBag],testing_time_[Ensemble OzaBag],total_running_time_[Ensemble OzaBag],training_time_[Ensemble DWMC],testing_time_[Ensemble DWMC],total_running_time_[Ensemble DWMC],model_size_[Hoeffding Tree],model_size_[SAM KNN],model_size_[Hoeffding Adaptive Tree],model_size_[Ensemble OzaBag],model_size_[Ensemble DWMC]
1000,0.61,0.61,0.651,0.651,0.603,0.603,0.643,0.643,0.592,0.592,2.999336,0.585572,3.584908,14.469994,0.052457,14.522451,2.84936,0.574945,3.424305,2.422327,0.49395,2.916277,7.56032,2.951084,10.511404,110.770508,40766.74902,122.457031,17790.48047,537.766602
2000,0.607,0.604,0.6555,0.66,0.602,0.601,0.6725,0.702,0.5705,0.549,3.730046,1.164149,4.894195,21.637573,0.107068,21.744641,4.305351,1.168935,5.474286,4.005351,0.980742,4.986093,11.442494,5.9328,17.375294,110.770508,40808.1084,122.457031,17795.57422,537.665039
3000,0.601667,0.591,0.660667,0.671,0.600667,0.598,0.676,0.683,0.554667,0.523,4.792104,1.711734,6.503838,28.79712,0.161897,28.959016,5.652115,2.339376,7.991491,5.532436,1.577866,7.110303,15.223043,9.113487,24.336531,110.770508,40854.56152,122.457031,17791.69922,533.540039
4000,0.6015,0.601,0.66025,0.659,0.601,0.602,0.67975,0.691,0.51925,0.413,5.50218,2.280527,7.782706,35.51619,0.214982,35.731172,7.029482,2.900685,9.930167,6.956403,2.157252,9.113654,19.031843,11.958479,30.990322,110.770508,40890.96777,123.285156,17789.10547,537.665039
5000,0.6046,0.617,0.6588,0.653,0.6038,0.615,0.6768,0.665,0.5266,0.556,6.220054,2.84246,9.062515,42.69322,0.266908,42.960128,8.417755,3.493598,11.911353,8.318057,2.716466,11.034523,22.794222,14.835723,37.629945,110.770508,40943.63965,123.285156,17794.29297,537.641602
6000,0.599167,0.572,0.656167,0.643,0.5985,0.572,0.675333,0.668,0.508833,0.42,6.937318,3.380462,10.31778,49.780638,0.322457,50.103095,9.823512,4.078015,13.901527,9.738698,3.304311,13.043009,26.533404,17.716156,44.249559,110.770508,40986.32715,123.285156,17789.76172,537.665039
7000,0.600857,0.611,0.654286,0.643,0.600286,0.611,0.676571,0.684,0.511857,0.53,7.662746,3.932584,11.59533,58.203435,0.374123,58.577558,11.205361,4.6463,15.851662,11.182265,3.885687,15.067952,30.415094,20.587849,51.002944,110.770508,41031.70215,123.285156,17791.48047,537.665039
8000,0.600625,0.599,0.65775,0.682,0.601125,0.607,0.678625,0.693,0.51625,0.547,8.373874,4.481974,12.855848,65.269371,0.434311,65.703682,12.57262,5.223748,17.796367,12.602166,4.451167,17.053334,34.235123,23.465042,57.700165,110.770508,41078.1709,123.285156,17790.60547,537.641602
9000,0.599111,0.587,0.660111,0.679,0.599778,0.589,0.679333,0.685,0.508778,0.449,9.086797,5.039731,14.126528,72.301194,0.486637,72.787831,13.982346,5.797272,19.779618,14.020918,5.008122,19.029041,38.043631,26.352813,64.396443,110.770508,41125.87402,124.144531,17791.66797,537.665039
10000,0.5967,0.575,0.6641,0.7,0.5981,0.583,0.6823,0.709,0.5128,0.549,9.792508,5.594285,15.386793,79.26658,0.538873,79.805453,15.35795,6.370403,21.728354,15.545067,5.567198,21.112265,41.857843,29.226152,71.083995,110.770508,41153.24902,124.144531,17787.29297,533.540039
