# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'running_time', 'model_size'], n_wait=1000, output_file='//content//drive//MyDrive//Colab ' 'Notebooks//ML_Assignment4//DriftDetection_Abrupt.csv', pretrain_size=1000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
1000,0.610000,0.610000,1.493856,0.584775,2.078631,110.770508
2000,0.602000,0.594000,2.218277,1.154013,3.372290,110.770508
3000,0.600333,0.597000,2.935352,1.714512,4.649864,110.770508
4000,0.599500,0.597000,3.699462,2.289406,5.988868,110.770508
5000,0.602200,0.613000,4.431851,2.858125,7.289976,110.770508
6000,0.597333,0.573000,5.160630,3.427039,8.587670,110.770508
7000,0.599286,0.611000,5.892060,3.982935,9.874996,110.770508
8000,0.598875,0.596000,6.602307,4.535365,11.137672,110.770508
9000,0.597444,0.586000,7.318506,5.104851,12.423357,110.770508
10000,0.595200,0.575000,8.036225,5.692192,13.728417,110.770508
11000,0.595091,0.594000,8.764677,6.246544,15.011221,110.770508
12000,0.601167,0.668000,9.484512,6.809144,16.293657,110.770508
13000,0.613692,0.764000,10.214387,7.354875,17.569262,110.770508
14000,0.592571,0.318000,10.929872,7.898912,18.828784,110.770508
15000,0.557667,0.069000,11.652536,8.462390,20.114925,110.770508
16000,0.530687,0.126000,12.374558,9.027103,21.401661,110.770508
17000,0.512000,0.213000,13.122699,9.578994,22.701693,110.770508
18000,0.497167,0.245000,14.691342,10.490567,25.181909,110.770508
19000,0.495316,0.462000,16.668218,11.091114,27.759331,214.690430
20000,0.500050,0.590000,17.942108,12.364394,30.306502,218.760742
21000,0.506762,0.641000,18.681458,12.689501,31.370959,218.760742
22000,0.514955,0.687000,19.436793,12.996998,32.433791,218.760742
23000,0.520087,0.633000,20.183238,13.293467,33.476705,218.760742
