# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'running_time', 'model_size'], n_wait=1000, output_file='//content//drive//MyDrive//Colab ' 'Notebooks//ML_Assignment4//DriftDetection_Gradual.csv', pretrain_size=1000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
1000,0.652000,0.652000,1.206698,0.467142,1.673840,87.411133
2000,0.640000,0.628000,1.820939,0.942643,2.763582,87.411133
3000,0.648333,0.665000,2.506432,1.424434,3.930866,110.770508
4000,0.659750,0.694000,3.232726,1.983175,5.215902,110.770508
5000,0.664400,0.683000,3.964799,2.568144,6.532943,110.770508
6000,0.666333,0.676000,4.670420,3.150710,7.821130,110.770508
7000,0.668286,0.680000,5.384037,3.720289,9.104327,110.770508
8000,0.670000,0.682000,6.112801,4.280858,10.393659,110.770508
9000,0.669556,0.666000,6.855887,4.823247,11.679134,110.770508
10000,0.669600,0.670000,7.563378,5.390664,12.954042,110.770508
11000,0.671364,0.689000,8.297325,5.970219,14.267545,110.770508
12000,0.677583,0.746000,9.032452,6.522808,15.555261,110.770508
13000,0.683308,0.752000,9.763641,7.075466,16.839107,110.770508
14000,0.648286,0.193000,10.473605,7.663506,18.137110,110.770508
15000,0.620867,0.237000,11.215425,8.220854,19.436279,110.770508
16000,0.600063,0.288000,11.951977,8.764857,20.716834,184.729492
17000,0.596824,0.545000,12.685906,9.308878,21.994784,191.487305
18000,0.596056,0.583000,13.384558,9.871757,23.256315,195.557617
19000,0.594737,0.571000,14.127325,10.431339,24.558664,195.557617
20000,0.594450,0.589000,14.871518,10.972454,25.843973,195.557617
21000,0.592714,0.558000,15.587286,11.531155,27.118441,214.690430
22000,0.588455,0.499000,16.330863,12.096264,28.427126,214.690430
23000,0.588609,0.592000,17.114010,12.644040,29.758050,214.690430
24000,0.590454,0.673000,17.206394,12.731208,29.937602,214.690430
