# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'running_time', 'model_size'], n_wait=1000, output_file='//content//drive//MyDrive//Colab ' 'Notebooks//ML_Assignment4//DriftDetection_Incremental.csv', pretrain_size=1000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
1000,0.399000,0.399000,1.522192,0.583018,2.105210,110.770508
2000,0.436500,0.474000,2.258839,1.156905,3.415744,110.770508
3000,0.481000,0.570000,2.992538,1.739075,4.731613,110.770508
4000,0.499000,0.553000,3.751599,2.333371,6.084970,110.770508
5000,0.508200,0.545000,4.481453,2.897599,7.379053,110.770508
6000,0.498833,0.452000,5.215172,3.463416,8.678588,110.770508
7000,0.488857,0.429000,5.967843,4.006338,9.974181,110.770508
8000,0.481500,0.430000,6.690416,4.578778,11.269194,110.770508
9000,0.475000,0.423000,7.424047,5.127999,12.552046,110.770508
10000,0.474300,0.468000,8.165496,5.681723,13.847219,110.770508
11000,0.470818,0.436000,8.892777,6.227363,15.120140,110.770508
12000,0.464083,0.390000,9.604064,6.786994,16.391059,110.770508
13000,0.462846,0.448000,10.370556,7.358572,17.729128,110.770508
14000,0.461214,0.440000,11.118181,7.922599,19.040780,110.770508
15000,0.455333,0.373000,11.846771,8.483391,20.330162,110.770508
16000,0.451188,0.389000,12.569845,9.055791,21.625636,110.770508
17000,0.448000,0.397000,13.302952,9.614540,22.917492,110.770508
18000,0.446833,0.427000,14.061504,10.168142,24.229645,110.770508
19000,0.446000,0.431000,14.770271,10.737714,25.507986,110.770508
20000,0.445150,0.429000,15.552005,11.335323,26.887328,110.770508
21000,0.445381,0.450000,16.276551,11.920884,28.197435,214.690430
22000,0.452000,0.591000,17.042281,12.508109,29.550390,218.760742
23000,0.457217,0.572000,17.819412,13.107861,30.927273,218.760742
24000,0.460917,0.546000,18.626868,13.707738,32.334606,218.760742
25000,0.463680,0.530000,19.426663,14.324371,33.751033,218.760742
26000,0.467077,0.552000,20.212824,14.901285,35.114109,218.760742
27000,0.469556,0.534000,20.980229,15.508246,36.488476,218.760742
28000,0.472536,0.553000,21.728463,16.077047,37.805510,218.760742
29000,0.475724,0.565000,22.475393,16.633843,39.109236,218.760742
30000,0.477933,0.542000,23.238776,17.198664,40.437440,218.760742
31000,0.480871,0.569000,23.978086,17.765254,41.743340,218.760742
32000,0.482875,0.545000,24.715744,18.335415,43.051159,218.760742
33000,0.484818,0.547000,25.433132,18.898330,44.331462,273.432617
34000,0.487647,0.581000,26.172401,19.422853,45.595253,299.182617
35000,0.489657,0.558000,26.926988,19.972182,46.899170,318.291992
36000,0.491139,0.543000,27.675947,20.550624,48.226570,322.385742
37000,0.493000,0.560000,28.450329,21.122327,49.572656,326.456055
38000,0.494211,0.539000,29.183594,21.702314,50.885907,326.456055
39000,0.495359,0.539000,29.929578,22.287895,52.217472,326.456055
40000,0.496800,0.553000,30.727065,22.881003,53.608068,326.456055
41000,0.498585,0.570000,31.538382,23.849379,55.387762,326.456055
42000,0.500024,0.559000,32.370122,24.432365,56.802487,326.456055
43000,0.501953,0.583000,33.165506,25.027956,58.193461,326.456055
44000,0.503886,0.587000,33.905622,25.595286,59.500908,326.456055
45000,0.505889,0.594000,34.688104,26.160153,60.848257,326.456055
46000,0.508326,0.618000,35.407664,26.737538,62.145201,326.456055
47000,0.510298,0.601000,36.153904,27.330438,63.484342,326.456055
48000,0.511833,0.584000,36.900058,27.888157,64.788215,326.456055
49000,0.513857,0.611000,37.640770,28.468829,66.109600,326.456055
