# TEST CONFIGURATION BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None),,,,,,,,,,,,,,,,,,,,,,,,,,,
# [Hoeffding Tree] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05),,,,,,,,,,,,,,,,,,
# [SAM KNN] SAMKNNClassifier(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=False, weighting='distance'),,,,,,,,,,,,,,,,,,,,,,,,
# [Hoeffding Adaptive Tree] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05),,,,,,,,,,,,,,,,
# [Ensemble OzaBag] OzaBaggingClassifier(base_estimator=KNNClassifier(leaf_size=30, max_window_size=2000, metric='euclidean', n_neighbors=8), n_estimators=2, random_state=None),,,,,,,,,,,,,,,,,,,,,,,,,
# [Ensemble DWMC] DynamicWeightedMajorityClassifier(base_estimator=NaiveBayes(nominal_attributes=None), beta=0.5, n_estimators=5, period=50, theta=0.01),,,,,,,,,,,,,,,,,,,,,,,,,,
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=52848, max_time=inf, metrics=['accuracy', 'running_time', 'model_size'], n_wait=1000, output_file='//content//drive//MyDrive//Colab ' 'Notebooks//ML_Assignment4//incrementalDataSet_Metrics.csv', pretrain_size=1000, restart_stream=True, show_plot=False),,,,,,,,,,,,,,,,,,,
# TEST CONFIGURATION END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,mean_acc_[Hoeffding Tree],current_acc_[Hoeffding Tree],mean_acc_[SAM KNN],current_acc_[SAM KNN],mean_acc_[Hoeffding Adaptive Tree],current_acc_[Hoeffding Adaptive Tree],mean_acc_[Ensemble OzaBag],current_acc_[Ensemble OzaBag],mean_acc_[Ensemble DWMC],current_acc_[Ensemble DWMC],training_time_[Hoeffding Tree],testing_time_[Hoeffding Tree],total_running_time_[Hoeffding Tree],training_time_[SAM KNN],testing_time_[SAM KNN],total_running_time_[SAM KNN],training_time_[Hoeffding Adaptive Tree],testing_time_[Hoeffding Adaptive Tree],total_running_time_[Hoeffding Adaptive Tree],training_time_[Ensemble OzaBag],testing_time_[Ensemble OzaBag],total_running_time_[Ensemble OzaBag],training_time_[Ensemble DWMC],testing_time_[Ensemble DWMC],total_running_time_[Ensemble DWMC],model_size_[Hoeffding Tree],model_size_[SAM KNN],model_size_[Hoeffding Adaptive Tree],model_size_[Ensemble OzaBag],model_size_[Ensemble DWMC]
1000,0.308,0.308,0.411,0.411,0.423,0.423,0.41,0.41,0.149,0.149,1.532419,0.574453,2.106872,7.735227,0.052912,7.788139,2.796485,0.589889,3.386374,2.878393,0.597502,3.475896,7.706953,2.892134,10.599087,641.34668,42989.58887,121.675781,17791.88672,537.641602
2000,0.371,0.434,0.4665,0.522,0.4655,0.508,0.448,0.486,0.216,0.283,2.26908,1.131913,3.400993,10.782197,0.082531,10.864728,4.189556,1.182651,5.372208,4.342422,1.13646,5.478881,11.638195,5.781034,17.419229,645.47168,43875.13965,122.535156,17788.66797,537.665039
3000,0.39,0.428,0.499667,0.566,0.495333,0.555,0.490667,0.576,0.307333,0.49,3.075643,1.698598,4.774241,12.657286,0.134059,12.791345,5.577603,1.78382,7.361424,5.795052,1.683418,7.478471,15.562679,8.677134,24.239813,649.541992,43720.69043,122.535156,17789.32422,537.665039
4000,0.40425,0.447,0.508,0.533,0.5,0.514,0.508,0.56,0.35275,0.489,3.815187,2.291993,6.10718,18.334192,0.176591,18.510783,6.965372,2.369028,9.3344,7.218696,2.169524,9.38822,19.564519,11.55316,31.117679,649.541992,44083.30762,122.535156,17789.94922,537.641602
5000,0.407,0.418,0.511,0.523,0.5046,0.523,0.5166,0.551,0.354,0.359,4.653464,2.872181,7.525645,22.361635,0.227688,22.589323,8.363244,2.951813,11.315057,8.679567,2.758022,11.437589,23.54768,14.464676,38.012356,649.541992,43553.22949,122.535156,17792.16797,537.665039
6000,0.401833,0.376,0.5055,0.478,0.4975,0.462,0.512,0.489,0.364833,0.419,5.397514,3.500348,8.897862,22.575641,0.269519,22.84516,9.774122,3.531873,13.305995,10.142954,3.353601,13.496555,27.581931,17.336714,44.918644,649.541992,43229.71387,123.363281,17800.94922,537.665039
7000,0.401857,0.402,0.503429,0.491,0.487857,0.43,0.51,0.498,0.375286,0.438,6.176285,4.076267,10.252552,22.72034,0.301819,23.022158,11.226139,4.093218,15.319357,11.61156,3.963973,15.575533,31.643035,20.221875,51.86491,649.541992,43231.75293,123.363281,17795.82422,537.665039
8000,0.4015,0.399,0.5005,0.48,0.4815,0.437,0.512,0.526,0.378625,0.402,6.983738,4.646047,11.629785,22.984377,0.327299,23.311676,12.667137,4.687178,17.354316,13.089238,4.460366,17.549605,35.665927,23.129929,58.795856,649.541992,44140.18652,123.363281,17800.57422,537.665039
9000,0.396667,0.358,0.504111,0.533,0.474444,0.418,0.513778,0.528,0.383333,0.421,7.737908,5.216157,12.954064,30.562922,0.378319,30.941241,14.167424,5.268566,19.43599,14.559449,4.935504,19.494953,39.789094,26.029669,65.818762,649.541992,44178.06543,123.363281,17790.38672,537.665039
10000,0.3956,0.386,0.5097,0.56,0.4712,0.442,0.5197,0.573,0.3975,0.525,8.556603,5.804258,14.360861,38.038245,0.433863,38.472108,15.544205,5.843449,21.387654,16.046341,5.453829,21.50017,43.819513,28.96577,72.785282,649.541992,44204.28418,123.363281,17795.26172,537.641602
